speaker_id,task,text,info_sex,info_age,info_l1_english,info_l1_other,info_l2_english_l1,info_l2_english_aoa
244,happy,okay last night my friend Savannah and I were talking about um exect for our sorority and she was saying that our advisor contacted her and basically said that our president isn't doing her job and that she might be replaced filtered_so I was telling her that the advisor also contacted me and told her or told me that I need to give her like a standards meeting which is a big deal for a president to have cause she's just not doing her job and um filtered_so then the er Savannah said oh and it's done,F,20,Y,NA,NA,NA
244,neutral,okay filtered_so yesterday i was talking to my friend or no this morning i was talking to my friend lucas who's also my neighbor about how our neighbors came and told them that they have rats so he was saying that uh the people from downstairs came up to their apartment and basically said that they had rats and that the rats came in through like a cabinet and then they they ran into their room and they saw it and then um he yeah he also said that they filtered_like trace it back their kitchen and found where it came in and that the exterminators would be coming soon and i've freaked out cause i thought he meant neigh like downstairs neighbors as in my apartment people in my apartment,F,20,Y,NA,NA,NA
244,phonecall,hey how's goin' whatcha doin' are you studying shit that's a lot what are you studying for heh that's fair that's fair let's into it you're going to diamond ball right who who are you bringing oh right right right yeah yeah yes the guy i interviewed for t rep hehe heh yickety yike yeah do you have a dress what that's forever it looks what boho sporty what does that mean hehe what is it long or short oh oh yeah yeah abs always you need that stay strapped hehe oh yeah they're just recording my voice it says talk about anything you want for a couple minutes filtered_so i'm talking about anything oh no no no i'm just chillin' psych one twenty b which i haven't gone to the lecture for on in a week and it's very stressful to me that i haven't done that i was gonna watch the yeah but i haven't watched it yet i was gonna do that last night and then i didn't have time and then i was gonna watch it this morning and i ended up answering a d pi emails for freakin' two hours filtered_so took forever yeah 'cause we have so many excuses coming up honestly filtered_like i didn't know how much time it took to just answer a bunch of emails but i just copy and paste approved and recorded and then that move on with my life but some of 'em like the ones recently have been complicated 'cause filtered_like everything for spirit week and recruitment i have to filtered_like record and then filtered_like basically label it as filtered_like for sure they're gonna be gone for all of it tentative for these days or filtered_like for sure for these days and then a filtered_so i filtered_like organized it 'cause i i do i don't know i thought that be helpful for them and then filtered_like it's confusing 'cause everyone's just filtered_like oh filtered_like i'm probably gonna be gone but i don't know when or for how long yet and i don't know for sure if that's gonna happen and i'm filtered_like yeah i don't think claudia introduced it filtered_well but filtered_like it's basically just supposed to be filtered_like for things that you know you're gonna be gone for filtered_like you know you're gonna be studying abroad or filtered_like you're dropping or you your internship already told you that you have to be there ff filtered_like til the end of september something like that filtered_like i think people got the wrong idea so they just sent filtered_like anything 'cause they thought they were gonna be penalized if they 'cause the thing is we're doing two rounds of excuse deadlines but filtered_like they didn't wanna say that so that people would actually turn them in for this one but filtered_like i think that made it a lot more confusing because now people probably think that if they didn't turn in they didn't for today then filtered_like they're gonna get in trouble you know which filtered_like absolutely is yeah filtered_so filtered_like i don't i'm gonna tell claudia to clarify that because that is just confusing i don't i don't like the way they did it yeah filtered_like i get that they wanna make bum proves and that's important to claudia but filtered_like it doesn't make any sense and filtered_like most of the excuses i have are just all tentative and filtered_like it doesn't help at all mhmm so whatever that's her problem it's not an emma problem so it's okay mhehe how long are you gonna be in y r l for ooh okay wait you should text lily and ask if she wants to get dinner 'cause she just asked me if i want to get dinner all three of us could go together that'd be fun aw with who neep murs stinet what how did that happen i thought she was gonna ask craig yeah she wi no she was filtered_like going to ask craig she we talked about it during econ i'm not kidding and she also wanted to ask her her mission boy is that kyle mm more or less that's good i s i have so many apprehensions about this boy hehe i can't just accept him back into our lives heh also you know johnny that kelly's taking yeah he was the he was the guy that i met at treehouse and ghosted me hahaha yes isn't that weird but apparently filtered_like every a d pi ever has been intres in slash has done something with him is what i'm getting and also he's a a raging republican question mark i don't know that's what sam told me but filtered_like he's fr good friends with kelly filtered_so i feel filtered_like that says something also i don't know yeah no i didn't ask him to diamond ball yeah ih that was filtered_like i asked him to filtered_like get coffee with me and then we filtered_like had a plan for tuesday and then he just ghosted me yep yep yep so yeah filtered_so this is gonna be fun hehe whatever i haven't decided i haven't decided heh i don't know it i don't know depends i wish i could be drunk at this 'cause that would make it easier but i'm just gonna be filtered_like hey nice to see you again never thought i'd see you again yeah haha i know of everything oh my god but it's fine it's fine aheh yeah come mediate but luckily everyone and their mom he'll know me hehe from when i rejected him from to you now i hate this i hate this event everyone that i don't want to go is going wow all my enemies in one place okay thank you for doing this for me uh okay i love you bye bye okay that was my conversation oh okay,F,20,Y,NA,NA,NA
238,annoyed,filtered_so when i first started working last year i went home over spring break and i told my parents and i was really excited about it i told them filtered_like hey i wanted to surprise you guys i ended up getting a job and my dad looked at me and he said why are you gonna work and i said filtered_well just to help out so i don't need to ask for money he said filtered_well that's dumb you shouldn't be working you should like we can provide for you and i said filtered_well i know that i didn't mean for it to be filtered_like rude to you guys i just wanted to be able to help out i know you guys it's not always easy and he wasn't happy for me at all,F,19,Y,Spanish,NA,NA
238,happy,filtered_so the other day I um I was talking to my friend and she said she's gonna come to L A for a concert and she's coming down mother's day weekend and filtered_so I said filtered_well since you're coming down that weekend what if we both drive home and surprise our moms for mother's day and she said okay but how would you get back and I said I'll just take the train back and she said filtered_well okay let's do it and I never get to go home filtered_so I'm filtered_so excited to go home for mother's day my mom is gonna cry,F,19,Y,Spanish,NA,NA
238,neutral,filtered_so i was at work and i was making pizzas and i asked the lady what she would like and she asked she said that she wanted a supreme combo pizza but when i started to put all of the ingredients on it she stopped me and she said no that's not what i want and i said oh i'm sorry you ordered the supreme combo and she said okay filtered_well why is there meat on it and i was filtered_like oh it comes with meat and she was filtered_like kay filtered_well i don't want any of the meat on there filtered_so i had to make it for her and i basically charged her for the supreme combo but i should've charged her for a different one,F,19,Y,Spanish,NA,NA
238,phonecall,hi mom hi what are you doing i am doing research oh shoot yeah um they're filtered_like these studies i have to participate in to get uh credit for psych so i'm doing research mhmm yes also that sounds mean also because i wanted to talk to you i don't think i'm not allowed to tell you so i don't i don't think i'm not no they're just recording me talking it's just about filtered_like voice inflection and stuff yeah they can't hear you only me yeah uh no not today today's my only day off yeah i work every other day usually around noon um actually tuesdays i start at eleven okay i work mondays twelve to three tuesdays eleven to three thursdays twelve to two and then fridays i'm ss technically scheduled like ten thirty to one thirty but last friday um i kinda was filtered_like i was just curious i was filtered_like filtered_well what time is uh breakfast end like what time do we stop serving breakfast and they said ten thirty which is the time i was gonna come in i was filtered_like aw damn i wanted to try breakfast and they were filtered_like filtered_like eat it and i was filtered_like no i mean filtered_like filtered_like work i wanted to work breakfast and they were filtered_like okay filtered_well come in earlier filtered_so i went in at nine i liked it it was fun yes i guess filtered_so filtered_so i don't know if they're gonna keep it that way but i mean more hours you know that's better for me i don't have anything to do in the morning so yeah friday what happened with the game yesterday yeah um i was in class yeah yeah it's what it looked like couldn't score yeah that's not enough mhmm their other coach oh my gosh okay uhuh yeah uhuh he sent her okay yeah okay wasn't isn't that up to the umpire oh okay yeah filtered_well that's obvious then filtered_like obviously your bat got in the way yeah filtered_well yeah of course how many how many games do they have left three how many of them are home oh okay yeah mhmm mhmm oh filtered_well okay i'm a call you back right now 'cause i think i have supposed to get off already okay okay okay bye,F,19,Y,Spanish,NA,NA
240,annoyed,i was trying to get a new email address for my lab that i work in uh and they asked me for all of my student i d information i gave them all of the information uh but then they said i hadn't worked long enough in the lab i had been recording my hours they told me i had not been recording my hours but i showed them proof that i did,M,23,Y,NA,NA,NA
240,happy,filtered_so I was talking to a friend about a uh a science test and they told me that the midterm had been delayed from tuesday until thursday isn't that awesome we were able to have two extra days of studying before the test started I was filtered_so worried that we were gonna uh fail that but now with two extra days of studying I'm pretty excited take this test I feel pretty prepared,M,23,Y,NA,NA,NA
240,neutral,i went to chipotle to order a burrito first they asked me if i wanted a tortilla and i said yes then they asked me if i wanted what kind of beans i wanted i asked for black beans then they asked me what kind of meat i wanted i told them to put half steak and half chicken then they asked me for other condiments i asked for lettuce corn and of course guacamole,M,23,Y,NA,NA,NA
